epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.6089,0.58593,2.75638,0.92511,0.71169,0.46597,0.69095,0.56609,0.62832,2.27261,0.88371,0.000470379,0.000470379,0.000470379
2,96.7394,0.71013,1.8115,0.98334,0.77015,0.67033,0.75321,0.62102,0.65997,1.55192,0.97877,0.000852988,0.000852988,0.000852988
3,147.791,0.70158,1.51553,0.97043,0.88819,0.73957,0.86892,0.72935,0.64295,1.3181,0.96662,0.00114128,0.00114128,0.00114128
4,198.517,0.67428,1.39684,0.96451,0.85618,0.85213,0.89699,0.76049,0.61759,1.26298,0.94278,0.00100459,0.00100459,0.00100459
5,249.999,0.68846,1.28925,0.96733,0.92154,0.88628,0.92729,0.81002,0.54128,1.04207,0.92403,0.000863116,0.000863116,0.000863116
6,300.691,0.61855,1.18085,0.93541,0.90063,0.86353,0.91575,0.80237,0.53862,1.09467,0.92272,0.000721645,0.000721645,0.000721645
7,350.949,0.5874,1.1159,0.93428,0.93119,0.88466,0.94209,0.83015,0.52278,0.99583,0.91208,0.000580174,0.000580174,0.000580174
8,401.626,0.57032,1.05688,0.90694,0.95247,0.89181,0.95123,0.84724,0.49385,0.89951,0.89698,0.000438703,0.000438703,0.000438703
9,453.582,0.54324,1.07463,0.90767,0.94678,0.91806,0.95297,0.86009,0.46805,0.87244,0.89539,0.000297232,0.000297232,0.000297232
10,504.937,0.52834,0.99962,0.89679,0.94128,0.92552,0.95186,0.86598,0.43439,0.87059,0.87709,0.000155761,0.000155761,0.000155761
